id;remote_id;name;accounting_account_number;fa_usage;inactiv
1;48138;Crossing algorithm dot-com;Organized Global;91114;false
2;97746;Montserrat Small Florida;motivating program;70217;true
3;54286;Carolina;JBOD Tala;61066;true
4;63192;visionary;index;5014;false
5;97569;Fall;grid-enabled New;53635;false
6;74938;deposit infrastructures;Utah;36529;false
7;50868;models Bahrain;Oregon;12451;false
8;24396;Cambridgeshire;index Intuitive;91173;true
9;27037;Rustic parse Rubber;Account infomediaries;46978;true
10;97176;Borders Plains Guilder;Ball Ergonomic Branding;5415;false
