id;remote_id;number;name;description;notes;category_name;including_vat;vat;unit_name;price;price_purchase;inventory_available;inventory_reserved;default_amount;created;inactiv
1;77202;Pass turn-key Clothing;synthesize;bandwidth Facilitator Global;firewall challenge;SAS Pula National;false;47220;Industrial Markets;40542;90611;31673;33579;84843;2021-08-16T18:43:06;false
2;16561;lime AGP Pike;secondary Enhanced partnerships;collaboration;Granite override Car;Toys;true;54906;Fresh;89074;81768;18648;88465;2478;2021-08-16T21:08:43;true
3;46369;Benin override;vortals;Music Lead;hack Missouri;Investment port Rubber;false;96715;matrix;64047;88539;27266;78289;90719;2021-08-16T17:16:38;false
4;85605;Regional;Associate Future parse;Valley olive orchid;Home;Fresh neutral online;false;80576;Books;56687;57520;70561;74454;80096;2021-08-17T04:42:48;false
5;19612;District neutral;grid-enabled Michigan;integrated;non-volatile virtual Borders;transform;false;63916;Computer olive;28668;97139;48574;10446;10253;2021-08-17T15:32:28;false
6;80678;Alabama;Buckinghamshire reboot parsing;generating compress;North Divide Senior;Drives Boliviano Wooden;true;76885;Metal Car Investment;71544;51975;21367;98258;96921;2021-08-16T21:09:26;true
7;5916;Bacon Account;HTTP;Tasty Shirt hacking;methodologies sky;Director hack Panama;false;14822;online grey Outdoors;80754;54962;36596;2621;67153;2021-08-17T01:34:33;false
8;91859;maximize navigating Internal;sticky;Unbranded;Berkshire multimedia Pennsylvania;Bedfordshire Michigan;false;24791;hacking deposit;54864;88509;54601;73564;31005;2021-08-17T09:27:12;false
9;82631;Sleek Jewelery;Iraq Rubber;Senior Internal Assistant;withdrawal;Philippine;false;78118;Configuration;44877;9197;55595;27676;53967;2021-08-17T05:08:53;true
10;88650;SAS e-services;Electronics Rustic Concrete;Greenland;SCSI Outdoors Tala;infomediaries;false;52222;Applications Metal;39613;54226;10476;1769;4129;2021-08-16T21:34:11;false
