id;remote_id;number;name;description;notes;category_name;including_vat;vat;unit_name;price;default_amount;created;inactiv
1;69129;web;orchestration online;Fantastic web-readiness;Fish;services Swaziland white;true;28865;Groves transmitter;51849;35756;2021-08-17T06:43:39;true
2;2110;Grocery cutting-edge;system index Virtual;Practical;Oman;Wooden;true;91345;Security;39546;64567;2021-08-17T00:56:28;true
3;16659;port online;application Fresh;Rubber;Concrete Borders;6th Representative;true;48504;up;69556;92260;2021-08-17T01:31:31;false
4;84395;Franc (Keeling);Chair Legacy Inlet;Account Borders Creative;Accounts;New iterate Grocery;true;66269;Metal Checking Security;69520;49068;2021-08-16T18:02:31;false
5;59764;Home deposit Account;Intelligent dedicated withdrawal;granular;methodologies copy;Savings Cameroon;true;56102;optical Turnpike;47705;75300;2021-08-17T04:41:11;false
6;59524;Clothing Handcrafted;Configuration Strategist;Avenue;Sleek Supervisor;Account;true;44708;Ergonomic;13325;2434;2021-08-16T17:35:28;false
7;79715;Outdoors;indigo payment content;HDD Security GB;COM transition;Factors leading-edge;true;92509;Assistant Drives;39121;92551;2021-08-16T19:25:22;true
8;28836;system supply-chains copying;Planner;Reunion Chips SCSI;Sleek visionary concept;Soft wireless;true;58835;Illinois Small;46418;92748;2021-08-17T08:46:06;false
9;70703;Account Agent;bi-directional Functionality;empowering;Pants Place;silver;true;34877;Tasty;51185;32001;2021-08-17T12:38:31;true
10;75583;Territory;Officer withdrawal;sky Applications Ergonomic;Tuna;Licensed Qatar;true;57164;Rubber;95237;3147;2021-08-17T10:30:17;false
