id;remote_id;name;name_de;name_en;name_fr;name_it;scope;custom;inactiv
1;72248;Right-sized payment;Wisconsin Towels;Cambridgeshire copying Specialist;Handcrafted Central Plastic;mindshare Rapids;SERVICE;true;true
2;35447;Borders;Maldives;Fantastic;users Virginia;group;PRODUCT;false;true
3;88762;Representative;analyzing;1080p primary generating;magenta Kids synergistic;Account digital optical;ALL;true;true
4;53800;viral array firmware;Senior Soft Movies;bypassing Strategist Liaison;overriding Metal Cheese;Denar Rupiah;PRODUCT;false;true
5;80516;bluetooth Berkshire content-based;Principal;Austria Beauty;invoice;red connecting copy;ALL;true;false
6;78498;Synergized Burgs Account;SQL Account;Mayotte Handmade functionalities;open-source;transform back Guernsey;PRODUCT;false;false
7;53832;invoice Steel Representative;deliverables Strategist Computer;National Libyan;SQL Cheese Keyboard;web-readiness Metal;SERVICE;true;true
8;15737;Manager Road Unions;Bedfordshire;Borders purple;Clothing cross-platform killer;Accounts Developer Italy;SERVICE;true;false
9;1994;alliance Executive;Kansas infrastructures Intelligent;throughput deposit payment;Account efficient;Fresh Books Bedfordshire;SERVICE;false;false
10;57162;Sports Euro;Fresh Market overriding;Strategist Lead;deposit;Avon Granite;PRODUCT;false;true
