id;remote_id;contact_name;date_time;title;description;interval_value;interval_type;inactiv
1;34723;Fresh bandwidth Grocery;2021-08-17T06:14:56;Moldova Chair Licensed;cutting-edge Cotton Group;8547;HOUR;true
2;10231;Ohio Money;2021-08-16T18:28:38;Buckinghamshire withdrawal;Benin;7083;HOUR;false
3;42808;optical Networked Cotton;2021-08-16T18:53:04;Handmade Paradigm;asynchronous Nauru;77657;DAY;false
4;18996;Niger;2021-08-17T09:37:02;Inlet Terrace;Beauty value-added;59552;DAY;true
5;37305;Koruna extend;2021-08-16T21:46:59;Guam Michigan Idaho;maximize;84519;HOUR;true
6;66441;Home Dobra B2C;2021-08-17T04:27:35;neural Tunnel enhance;payment;32482;HOUR;true
7;7292;Granite PCI;2021-08-17T00:49:42;Sausages;Nevada Mexico;99813;MONTH;true
8;73934;back-end Assurance Human;2021-08-17T08:47:26;THX;Hat Handmade Assurance;11493;DAY;true
9;9320;Rubber Response;2021-08-17T15:14:39;Down-sized Account;transmitting Data;55866;HOUR;false
10;92877;copy Arkansas Vista;2021-08-17T11:57:21;Marks;group;22751;HOUR;false
