id;remote_id;number;name;description;type;inactiv
1;73692;system monitor Personal;Dollar value-added Regional;Radial;PRODUCTIVE;false
2;50567;up Montserrat;Cotton;Sri Small Fresh;NOT_PRODUCTIVE;false
3;68366;Dynamic;compelling;Soap Small;NOT_PRODUCTIVE;true
4;22672;synthesize user Borders;Bedfordshire migration;compressing Assurance PCI;PRODUCTIVE;true
5;4703;Generic Automotive;Licensed Developer;Rubber RSS;NOT_PRODUCTIVE;false
6;94811;real-time;Credit;Chips Small;PRODUCTIVE;false
7;12886;Canyon Greenland Rial;Bedfordshire vertical;Malagasy;NOT_PRODUCTIVE;true
8;73663;navigate auxiliary;Intuitive;Designer EXE Accountability;NOT_PRODUCTIVE;true
9;69106;connecting indexing;payment tangible;invoice Executive;PRODUCTIVE;true
10;58875;whiteboard Mouse;digital;Computers experiences;PRODUCTIVE;true
