id;domain_area;fa_key;name;default_value
1;SERVICES;Table;Planner invoice;Tasty RAM
2;OFFERS;turquoise Incredible;Koruna Pizza;implementation
3;SERVICES;Refined implement invoice;Orchestrator;Manor withdrawal scale
4;SERVICES;Credit bandwidth 24/7;interfaces Sri;architecture
5;INVOICES;Rubber payment Implementation;Utah;invoice Incredible
6;DELIVERY_NOTES;Egypt Account Granite;Guam Iranian;Harbors payment Branding
7;PROJECTS;Islands Dynamic;Chair circuit;neural Finland
8;INVOICES;Concrete;New solutions invoice;encompassing
9;CONTACTS;Robust deposit Avon;Optimization Multi-lateral;SDD
10;CONTACTS;North;hard Vermont distributed;strategic Manager
