id;fa_key;name;value
1;Refined PCI;Rubber Intelligent Small;demand-driven microchip
2;copying schemas Dollar;Awesome Cove;Gabon Mouse
3;content connecting;e-commerce;Generic Graphical
4;content Iceland composite;Towels integrate Pants;turn-key Practical
5;Global;Games Toys;SCSI disintermediate Automotive
6;Frozen monitor;Walk;Sports redundant wireless
7;Berkshire Rustic backing;Tasty Berkshire;Rubber transmit IB
8;Incredible Manager;multi-tasking;America
9;leading-edge;Web systems;policy
10;product;withdrawal Mobility redefine;zero
