id;remote_id;number;contact_name;date;period_text;currency;total;vat_included;discount_rate;discount_type;language;page_amount;notes;status;created
1;46948;unleash Beauty Directives;Passage Kenyan;2021-08-17;withdrawal dynamic;OMR;23777;true;11617;IN_PERCENT;GERMAN;28072;Mobility Universal Plastic;SENT;2021-08-17T11:11:34
2;21209;integrate Account SSL;copying Incredible;2021-08-17;Visionary;BND;33505;true;38213;AMOUNT;FRENCH;50253;invoice;SENT;2021-08-16T16:58:09
3;40711;Market;solid;2021-08-16;International bypass;YER;71768;true;79968;AMOUNT;SPANISH;57642;Vanuatu;SENT;2021-08-17T00:06:43
4;3718;yellow;Intelligent;2021-08-16;Officer;NZD;5137;false;25001;IN_PERCENT;ENGLISH;45976;Account Borders;DRAFT;2021-08-17T00:13:12
5;43603;Account;Facilitator Intelligent;2021-08-17;Expanded Expressway;AED;11993;false;49130;IN_PERCENT;FRENCH;70196;portals overriding Nakfa;DRAFT;2021-08-17T11:09:59
6;33100;Plastic;Brooks archive;2021-08-16;Borders;PAB;84290;true;91146;AMOUNT;FRENCH;86880;Designer unleash PCI;DRAFT;2021-08-17T07:46:41
7;65699;Liaison info-mediaries Account;Diverse Awesome SDR;2021-08-17;Liechtenstein;RUB;65257;false;65309;AMOUNT;ITALIAN;99062;Springs;BILLED;2021-08-17T12:02:26
8;18788;streamline;copy;2021-08-16;Object-based Tactics;ILS;98087;true;43748;AMOUNT;ITALIAN;52985;Pizza;SENT;2021-08-17T12:20:33
9;30216;management port;Future Texas;2021-08-16;pixel Carolina;KHR;52499;false;39034;IN_PERCENT;GERMAN;67448;initiative Plastic redundant;DELETED;2021-08-17T15:42:36
10;30171;quantifying;Intranet Soft;2021-08-16;Salad Officer deposit;IDR;54695;true;32348;IN_PERCENT;ITALIAN;74559;Borders Hat;DELETED;2021-08-17T16:47:11
