id;title;introduction;conditions;status
1;Metal turquoise;Granite visionary Adaptive;Pound navigate;RECEIPT
2;Gorgeous;connect Buckinghamshire FTP;holistic compress;FIRST_REMINDER
3;data-warehouse;Electronics Metal withdrawal;black JBOD;PAYMENT_REMINDER
4;Avon reinvent;maroon;SAS Web XML;RECEIPT
5;ubiquitous Berkshire Chief;haptic Multi-lateral Berkshire;RSS synthesize;RECEIPT
6;synergy;Cambridgeshire;Health Robust Designer;SECOND_REMINDER
7;Global;global;neural;FIRST_REMINDER
8;Peso Mouse;Account JSON;Investor efficient;SECOND_REMINDER
9;Prairie COM Implementation;Isle Table analyzer;markets;THIRD_REMINDER
10;Kids;Marketing silver;Borders;PAYMENT_REMINDER
