id;remote_id;contact_name;date;title;content;language;page_amount;notes;status;created
1;9893;Global distributed;2021-08-17;Investment;Principal Berkshire Interactions;ENGLISH;13826;Account Granite;DRAFT;2021-08-17T10:38:42
2;88572;HTTP;2021-08-17;up;calculate Oro;FRENCH;67728;Investment impactful;SENT;2021-08-17T01:32:33
3;78787;bypass Loan Fantastic;2021-08-17;mobile;Director Unbranded convergence;ITALIAN;61248;Movies;SENT;2021-08-17T04:46:26
4;67907;Crossroad;2021-08-16;mobile neural Sports;expedite Chair;GERMAN;13353;bleeding-edge intermediate;DELETED;2021-08-16T21:08:30
5;16508;red Loaf;2021-08-17;modular emulation;Developer Stand-alone;SPANISH;26974;transmit COM;DRAFT;2021-08-17T07:11:55
6;78654;black Product Falls;2021-08-16;bypassing;Soap;SPANISH;60521;copying withdrawal;SENT;2021-08-16T19:05:41
7;50391;quantifying navigating;2021-08-17;microchip Corporate;Account;FRENCH;67366;Human Solutions Cambridgeshire;DRAFT;2021-08-17T06:57:06
8;39701;synergistic connecting Handcrafted;2021-08-16;Tactics Intranet;Vista Money Brand;SPANISH;17724;Brand;DRAFT;2021-08-17T16:47:01
9;38470;digital Cheese;2021-08-17;HTTP;array Cambridgeshire Bedfordshire;GERMAN;43406;metrics;DRAFT;2021-08-16T22:06:19
10;5216;Soft;2021-08-17;Bedfordshire Hat Car;Account;SPANISH;56681;protocol Lebanon;DELETED;2021-08-16T21:37:51
