id;default_text;text;language;fa_usage;status;type;document_type
1;true;Global parsing;GERMAN;CONDITION;DEBT_COLLECTION;DOCUMENT;DELIVERY_NOTE
2;true;lavender;ENGLISH;INTRODUCTION;PAYMENT_REMINDER;EMAIL;INVOICE
3;false;Fort Executive;FRENCH;CONDITION;DEBT_COLLECTION;EMAIL;OFFER
4;true;supply-chains;GERMAN;TITLE;DEBT_COLLECTION;DOCUMENT;DELIVERY_NOTE
5;false;SAS Proactive Kids;ENGLISH;CONDITION;THIRD_REMINDER;EMAIL;DELIVERY_NOTE
6;false;Orchestrator;ENGLISH;CONDITION;THIRD_REMINDER;DOCUMENT;ORDER_CONFIRMATION
7;false;Strategist Bedfordshire Home;GERMAN;CONDITION;DEFAULT;DOCUMENT;DELIVERY_NOTE
8;true;deliverables turquoise Liaison;SPANISH;TITLE;RECEIPT;DOCUMENT;OFFER
9;true;Denar deposit;ENGLISH;TITLE;DEBT_COLLECTION;EMAIL;OFFER
10;false;system;ENGLISH;TITLE;RECEIPT;DOCUMENT;DELIVERY_NOTE
