id;remote_id;user_id;user_name;entity_type;entity_id;duration;date;activity_name;notes;is_invoiced;updated;hourly_rate
1;50761;59775;Ville Isle bypassing;CONTACT;39374;94864;2021-08-17;Shore cutting-edge;Martinique California HTTP;true;2021-08-16T22:53:28;98312
2;26205;91470;communities Avon microchip;COST_UNIT;96297;79930;2021-08-17;forecast Generic challenge;Argentina;true;2021-08-17T07:46:53;40406
3;57276;55116;Assurance hack;PROJECT;63955;48479;2021-08-17;Forward;Movies COM;true;2021-08-17T14:20:10;32703
4;76464;84875;seamless Movies;COST_UNIT;95850;62029;2021-08-16;Web Configuration;asynchronous Auto;false;2021-08-16T21:52:54;2579
5;85075;57262;Diverse;CONTACT;60815;79825;2021-08-16;Intelligent SDR;navigating Practical;true;2021-08-17T11:21:10;17539
6;75996;60669;(Slovak Applications primary;PROJECT;39901;24363;2021-08-17;Central;paradigms initiatives Practical;false;2021-08-17T15:22:26;49458
7;26617;70067;front-end;CONTACT;34257;55711;2021-08-17;Real;Garden Administrator generating;true;2021-08-17T06:52:04;81785
8;4609;52349;drive interfaces;PROJECT;95987;42450;2021-08-17;multi-byte;Vanuatu compressing Dynamic;false;2021-08-16T21:03:02;72613
9;15714;72086;Fantastic;PROJECT;4173;68746;2021-08-17;out-of-the-box quantify Seamless;engage Chips;false;2021-08-16T22:47:22;96929
10;77213;76857;bandwidth management structure;CONTACT;4036;14078;2021-08-16;SAS up Marshall;static HDD;true;2021-08-16T18:36:24;56560
