id;remote_id;currency_from;currency_to;rate;created;inactiv
1;5284;JPY;VUV;8565;2021-08-17T11:38:22;false
2;98847;SOS;RWF;47290;2021-08-17T04:56:55;true
3;89253;NIO;GTQ;54120;2021-08-17T06:39:21;true
4;6607;XAG;XPF;19530;2021-08-16T22:53:55;true
5;1229;XDR;FJD;20763;2021-08-17T16:27:47;true
6;49972;BOV;WST;25215;2021-08-17T02:56:11;false
7;97361;KMF;HUF;38565;2021-08-17T06:44:58;true
8;6793;MXN;BYN;95775;2021-08-17T09:17:18;true
9;8245;CRC;XAU;95853;2021-08-16T23:23:02;true
10;8821;PHP;IDR;33202;2021-08-16T20:01:47;false
