id;text;font_size;position_x;position_y;page_no;language
1;Baby Korean;80107;16832;25258;69755;ITALIAN
2;Account;91348;30253;49939;66504;FRENCH
3;Spain Agent target;31915;2563;84258;66003;GERMAN
4;directional Dong Savings;32703;5872;53074;79015;ITALIAN
5;Pula Avon primary;35209;32844;92849;32197;FRENCH
6;pink Yemen;12585;68713;27820;51329;GERMAN
7;Georgia Bedfordshire;43888;61657;71148;2238;FRENCH
8;product;89591;11680;81978;56682;SPANISH
9;deposit synthesize Metal;30623;57189;70006;67111;SPANISH
10;Denar;77821;69153;86963;15375;SPANISH
