id;remote_id;number;contact_name;date;due;period_from;period_to;period_text;currency;total;vat_included;discount_rate;discount_type;cash_discount_rate;cash_discount_date;total_paid;paid_date;isr_position;isr_reference_number;payment_link_paypal;payment_link_paypal_url;payment_link_postfinance;payment_link_postfinance_url;payment_link_payrexx;payment_link_payrexx_url;payment_link_smartcommerce;payment_link_smartcommerce_url;language;page_amount;notes;status;created
1;65218;RAM systemic;Loop;2021-08-16;2021-08-16;2021-08-17;2021-08-17;calculating;GHS;64379;true;52363;IN_PERCENT;79862;2021-08-16;94375;program SQL;LAST_PAGE;Consultant;false;reciprocal;true;Borders Home access;false;monitor;true;parse intuitive Division;SPANISH;97394;Rubber Legacy transmitting;FIRST_REMINDER;2021-08-16T22:24:40
2;98367;Gloves visualize;Fully-configurable Dynamic Fresh;2021-08-16;2021-08-17;2021-08-17;2021-08-17;Maine;CZK;32278;true;11254;IN_PERCENT;34241;2021-08-16;2473;Well;LAST_PAGE;Internal auxiliary RSS;false;Agent;true;Iceland;false;Electronics neural Gorgeous;true;Plains;FRENCH;2706;compelling Account;PARTIALLY_PAID;2021-08-17T10:53:17
3;40069;applications Handmade Rubber;e-markets Ball tan;2021-08-16;2021-08-17;2021-08-17;2021-08-16;navigate Malawi plum;COP;39032;false;85109;IN_PERCENT;60833;2021-08-17;24697;monitor Arizona applications;ADDITIONAL_PAGE;Toys deposit;true;experiences Concrete;true;Chair Associate;true;24/7;true;Granite Florida Data;SPANISH;32565;Tuna;CANCELD;2021-08-17T15:48:13
4;3293;bandwidth Pizza;Point Account;2021-08-17;2021-08-17;2021-08-17;2021-08-16;orchestrate;NZD;30892;false;55738;AMOUNT;73507;2021-08-17;70585;Fresh Handcrafted Wooden;ADDITIONAL_PAGE;Unions silver Real;false;Centers;false;Right-sized PCI;true;COM world-class;true;firewall Implementation bandwidth;SPANISH;22369;Arkansas Interactions;PARTIALLY_PAID;2021-08-17T14:26:00
5;2007;Cotton 1080p;Health;2021-08-17;2021-08-17;2021-08-17;2021-08-17;cyan Buckinghamshire Kids;CLF;15455;false;99226;IN_PERCENT;16450;2021-08-16;84668;Investor SDD USB;FIRST_PAGE;Administrator digital;true;info-mediaries Switchable;false;Soft XSS;false;Avon 24/365;true;Specialist product;ENGLISH;23486;Benin Steel withdrawal;PARTIALLY_PAID;2021-08-17T03:43:23
6;66119;SCSI generating;applications Outdoors Bedfordshire;2021-08-16;2021-08-17;2021-08-17;2021-08-16;Japan;VUV;27939;false;9083;IN_PERCENT;29986;2021-08-17;2484;invoice mesh;ADDITIONAL_PAGE;Configuration leverage Legacy;true;Savings programming;false;bandwidth;false;Shores;true;Michigan paradigms Sports;FRENCH;12323;Unbranded calculating;PAYED;2021-08-16T22:12:18
7;23643;neural;Dynamic state networks;2021-08-17;2021-08-17;2021-08-16;2021-08-17;Pants;MKD;25384;true;50787;AMOUNT;44177;2021-08-17;43648;Cambridgeshire;FIRST_PAGE;partnerships;true;Object-based Islands web;false;Kids Polarised;false;Assurance network;false;supply-chains;GERMAN;83828;Virtual Implementation;THIRD_REMINDER;2021-08-17T16:48:30
8;95248;Savings calculating Licensed;Technician synthesizing;2021-08-16;2021-08-16;2021-08-17;2021-08-17;adapter;PGK;56715;false;33703;IN_PERCENT;39277;2021-08-17;78581;blue;ADDITIONAL_PAGE;granular;false;Account;false;program CSS;true;Dynamic Handcrafted hacking;true;sensor;GERMAN;89470;Steel Music;DRAFT;2021-08-17T05:48:40
9;92198;New Steel;maroon generate Qatari;2021-08-17;2021-08-17;2021-08-17;2021-08-16;asymmetric Mill Connecticut;NOK;33964;false;40481;IN_PERCENT;45785;2021-08-17;63032;calculating Course empower;LAST_PAGE;Concrete transmit Groves;true;RAM matrices;false;wireless Public-key;false;Polarised JSON;false;Lead HTTP;GERMAN;66656;Salad maroon;DRAFT;2021-08-16T19:26:00
10;19643;paradigm complexity Riel;Berkshire Saint Paradigm;2021-08-16;2021-08-16;2021-08-17;2021-08-17;Metal drive;AFN;42668;false;61641;AMOUNT;2244;2021-08-17;57735;orchid;LAST_PAGE;Berkshire;false;Metal Beauty;true;Summit e-business;true;innovative index;true;blue;ITALIAN;21166;haptic;THIRD_REMINDER;2021-08-17T16:50:43
