id;remote_id;number;contact_name;date;period_text;currency;total;vat_included;discount_rate;discount_type;language;page_amount;notes;status;created
1;57793;array;blockchains Specialist;2021-08-17;vertical solution strategic;LAK;56317;false;36385;IN_PERCENT;FRENCH;97550;Cotton;BILLED;2021-08-17T03:22:42
2;60627;B2B integrate;mesh Metrics;2021-08-17;Avon Salad;SOS;44993;false;54224;IN_PERCENT;ENGLISH;66804;Multi-lateral Armenia;DELETED;2021-08-16T18:53:17
3;24864;Self-enabling;Savings Avon;2021-08-17;Factors;BYR;78901;false;41847;IN_PERCENT;FRENCH;48916;Hills Response;DRAFT;2021-08-17T08:32:17
4;35617;Liaison Oregon Personal;Creative;2021-08-17;Dinar;FJD;4108;true;3630;AMOUNT;GERMAN;35494;orchestrate Nebraska;SENT;2021-08-16T23:54:02
5;20119;virtual bluetooth Refined;orange;2021-08-17;Global;UAH;32262;false;77174;IN_PERCENT;ITALIAN;44297;Rubber Team-oriented;DRAFT;2021-08-17T10:33:21
6;2275;Palladium Prairie Operations;Real Research;2021-08-16;withdrawal Concrete AGP;LAK;26994;false;62294;IN_PERCENT;SPANISH;14930;Hat;BILLED;2021-08-16T19:56:34
7;73244;Metrics Small;grey indexing;2021-08-16;program Account;ETB;76518;true;61572;IN_PERCENT;SPANISH;23775;Steel Programmable;DRAFT;2021-08-17T14:30:16
8;26364;portals;user-facing deposit Computers;2021-08-17;Lead Supervisor card;AZN;77127;false;77824;IN_PERCENT;ENGLISH;52388;Orchestrator standardization hierarchy;SENT;2021-08-17T10:39:39
9;68290;redundant;Borders applications;2021-08-17;Views;XPD;16847;false;43224;AMOUNT;GERMAN;5073;Global Strategist Mouse;DRAFT;2021-08-17T11:47:19
10;77823;deposit;best-of-breed;2021-08-16;deposit Computer;KPW;75062;true;38157;IN_PERCENT;GERMAN;10497;payment;SENT;2021-08-17T16:26:21
