id;remote_id;user_name;date;time_start;time_end;created
1;75663;data-warehouse encoding;2021-08-17;2021-08-16T17:52:31;2021-08-17T11:21:24;2021-08-16T21:46:25
2;57301;Investor aggregate enhance;2021-08-16;2021-08-17T10:10:41;2021-08-16T21:23:10;2021-08-16T21:54:37
3;72417;Well Avon payment;2021-08-17;2021-08-17T08:46:25;2021-08-16T20:05:11;2021-08-17T02:44:26
4;37005;Qatar;2021-08-17;2021-08-16T22:17:41;2021-08-16T18:54:04;2021-08-17T15:52:17
5;74862;up New;2021-08-17;2021-08-16T17:00:10;2021-08-17T12:30:16;2021-08-16T17:58:24
6;64518;channels leverage Steel;2021-08-17;2021-08-16T23:40:45;2021-08-17T07:40:58;2021-08-17T08:14:55
7;75067;schemas gold invoice;2021-08-17;2021-08-17T08:49:43;2021-08-16T21:00:19;2021-08-17T10:08:01
8;18184;Via Concrete;2021-08-17;2021-08-17T10:39:50;2021-08-17T06:43:28;2021-08-17T07:25:08
9;34823;Franc Representative Cedi;2021-08-16;2021-08-16T19:47:01;2021-08-17T04:56:24;2021-08-17T02:55:47
10;91635;Wells;2021-08-17;2021-08-17T01:12:01;2021-08-16T23:15:13;2021-08-17T02:31:05
